Código,Descrição
222062,SENSOR DE ROTAÇÃO PARA FIELD IQ GRANULAR CÓD.86585
222063,CAIXA TRANS. RELAÇÃO TRANS. DE 32:1 CÓD. BPN 175
222064,"CAIXA TRANS. RELAÇÃO TRANS. DE 1:1,35 CÓD. BPN 174"
222065,TROCADOR DE CALOR OK-ELD4H/3.1/12V/1/S
222068,BOMBA HID. - FP30.125S0-A3Z0-LGG/GG-N (06876150)
222072,"MOTOR HIDRA. REF. TE100 AS SAE ""A"" 2 BOLT 1/2""-14 SAE - EIXO CODE 10 1"" COM CHAVETA    MARCA PARKER"
222073,"MOTOR HIDRA. REF. TE080 AS SAE ""A"" 2 BOLT 1/2""-14 SAE - EIXO CODE 10 1"" COM CHAVETA    MARCA PARKER"
222075,FILTRO DE RETORNO HF547-20.201-AS-FG010-B17-GG-B-S-Z-XAGAM-YN-A-K (KHD20217)
222076,VISOR NÍVEL - HL 91-10.T1-T+B(KHI03720)
222077,RECEPTOR DE SINAIS DE SATELITE GPS MOD. TRIBLE CFX 750 DGPS CÓD.94000-00BR*
222078,SUPORTE DE FIXAÇÃO PARA GPS CFX CÓD.91357-AG-II
222079,KIT FIELD SOLIDOS P/ MÁQUINA CÓD. KIT F.IQ MAQ. I
222080,KIT FIELD SOLIDOS P/ CABINE CÓD. KIT F.IQ CABINE
222087,"VIBRA STOP COXIM 3 CARGA 250KG X 3/8"""
222088,MANGUEIRA P/ LUBRIFICAÇÃO DO ROLAMENTO DO ROLO DIANT. - ROBUSTA 12t
222105VIS,VALVULA CONTRA BALANCO DUPLA VISTA (VCBDLA0430VH)
222109HYB,KIT FILTRO DE PRESSAO PLF PARA 60 LITROS 10um F65529060601
222110VIS,VALVULA DIRECIONAL TN10 6 VIAS VISTA (VSVK10)
222113,"(USAR O 222133) BARRA ROSCADA FERRO GALV. 1/2"" X 1MT"
222115,SENSOR INDUTIVO I18-5-DPC
222126,"BARRA ROSC FERRO GALV. 1/4"" X 1MT"
222155VIS,VÁLVULA DE RETENÇÃO TN15 VISTA (VS15A1X)
222203,CONTRA PINO  3/16 X 1
222204,CONECTOR GENERICO P/ BARRAMENTO FIO 25MM OU CABO 16MM SAIDA FRONTAL 9005
222222,PINO DE FIXAÇÃO DO REGULADOR TABLET - BAIA - SELECIONADORA DE FRUTAS
222276,PINO ELASTICO 5/16 X 1
222355,"GRAMPO TM 251 X 4,5"
222404IMP,"CUBO RODA F. FUND. NOD. GGG-50"" CBHM 6000 (IMPORTADO)"
222405IMP,"CUBO RODA F. FUND. NOD. GGG-50"" F4 (IMPORTADO)"
222412,CUBO DE RODA P/ MÁQ DE COLHEITA
222466,AÇO MT 60.00 CROMADO SAE 1045 NORMAL - CTH4500
222467,EMBOLO C/ VED. CN 060x020x050
222468,AÇO MT 25.00 CROMADO SAE 1045 NORMAL - 280MM
222469,CABEÇOTE GUIA C/ VED. CN.080XH.025
222470,PORCA AUTO TRAVANTE MÉTRICA ALTA M20X1.5
222472,TERMINAL ROT COM FUNDO SOLDAVEL FT30/60
222473,TUBO TCB 070X060X05 BRUNIDO
222914,PINO ELASTICO  10 X 65
224391,"CORREIA TRANS VM 9/2-20DG MT(NAB-8EXDV) MED. 350 X 2750MM FEC C/09 PERFIL CTK VERDE LISO, DIST. 30MM DAS BORDAS"
224398,"CORREIA TRANS VM 9/2-20DGMT MED.6.600 X 330MM GRP CARBONO 4A X 24""C/22 TALISCAS CTK-13 VERDE LISO DIST.75MM DAS BORDAS E PASSO DE 300MM."
224402,"CORREIA TRANSPORTADORA V28M 350 X 5900 FECHADA C/ TALISCA (CONFORME DESENHO) [ESTEIRA DAS BAIAS 2,92m - SEF250 M16]"
224581,CORREIA TRANSP. HORIZONTAL C/ TALISCAS U 1 27000 X 480MM
224582,CORREIA TRANSP. ELEVATÓRIA C/ TALISCAS RETAS 7.100 X 480mm C/ talisca e borda
224584,CORREIA TRANSP. ELEVATÓRIA C/ TALISCAS RETAS 5.300 X 480mm C/ talisca e borda
224585,"CORREIA TRANSP. HORIZONTAL C/ TAL U 2,5MM X LARG.580MM X COMPR.60.320MM"
224586,CORREIA TRANSP. ELEVATÓRIA C/ TAL RETAS 3MM X LARG.590MM X COMPR.12.640MM
226111,"ESTICADOR P/CABO DE AÇO 3/4"" OLHAL/OLHAL"
226131,"CORRENTE PASSO 38,1MM EM AÇO P/ SELECIONADOR DE MELÃO"
226132,CORRENTE EM AÇO INOX AISI 304 PASSO 42MM P/ ESTEIRA ELEVATÓRIA DE MELÃO
226133,CORRENTE EM AÇO INOX 2050
226180,EMENDA P/ CORR. ASA-100
226182,"EMENDA SIMPLES P/ CORR. ASA-50 5/8"""
226187,"EMENDA SIMPLES P/ CORR. ASA-80 1"""
226193,"EMENDA DUPLA P/ CORRENTE ASA-60 3/4"""
226405,"CORRENTE SIMPLES ASA-60 3/4"""
226406,"CORRENTE SIMPLES ASA-80 1"""
226407,"CORRENTE SIMPLES ASA-100 1.1/4"""
226410,"CORRENTE DUPLA ASA-60 3/4"""
230170,"HASTE SUBSOLADORA 24"""
230420,PONTEIRA ESCARIFICADORA DO VC
230511,MOLA PROTEÇÃO PVC PRETO 66MM
232312,"GRAMPO P/ CABO DE ACO 1/2"""
232313,"SAPATILHO GALV 1/2"""
236203,MANCAL FLANGE FYC 510
236205,MANCAL FLANGE FRM F207
236218,MANCAL PA 205
236219,MANCAL FLANGE FL205
238041,MOLA DE COMPRESSAO 1066015
238211,MOLA TRAVA TAMPA TRAS CBH
238375,MOLA P/ EMBREAGEM DA ROÇAX
238399,MOLA POSICIONADORA DO PS
238407,MOLA DO TRAVAMENTO - ROBUSTER 026370
238408,MOLA PARA APLICADOR TNT
238409,MOLA PARA FIXAR FILME - ROLOS 120M
240215,"MANG A/P SAE-100 3/8"" x 4500mm - 1 TERM. RETO 1 TERM. A 90º"
240220,"MANG R2 - 5/8"" X 6420 - TERM. RETO/90° FEMEA JIC 7/8"""
240221,"MANG R2 - 5/8"" X 175 - TERM. RETO/90° CONF. DESENHO"
240222,"MANG R2 - 5/8"" X 2140 - TERM. RETO/90° FEMEA JIC 7/8"""
240223,"MANG R2 - 5/8"" X 2280 - TERM. 90°/90° CONF. DESENHO"
240224,"MANG R2 - 5/8"" X 1280 - TERM. RETO/90° FEMEA JIC 7/8"""
240225,"MANG R2 - 5/8"" X 1400 - TERM. 90°/90° CONF. DESENHO"
240226,"MANG R2 - 5/8"" X 2770- TERM. RETO/RETO FEMEA JIC 7/8"""
240227,"MANG R1 - 1"" X 890 - TERM. 90°/RETO FEMEA JIC 1.5/16"""
240228,"MANG R1 - 1"" X 3250 - TERM. 90°/90° CONF. DESENHO"
240230,DISCO VOLANTE 1065135
240260,UNIÃO MACHO JIC 3/4 X 1/2 BSP
240409,"MANG R2 - 3/8"" X 4000 - TERM. RETO/90° FEMEA JIC 3/4"""
240410,"MANG R2 - 1/4"" X 4600 - TERM. RETO/RETO FEMEA JIC 9/16"""
240411,"MANG R2 - 1/4"" X 1600 - TERM. RETO/90 FEMEA JIC 9/16"""
240413,"MANG R2 - 1/4"" X 4300 - TERM. RETO/90 FEMEA JIC 9/16"""
240414,"MANG R2 - 1/4"" X 4250 - TERM. RETO/90 FEMEA JIC 9/16"""
240415,"MANG R2 - 5/8"" X 800 - TERM. RETO/90 FEMEA JIC 7/8"""
240416,"MANG R2 - 5/8"" X 1200 - TERM. RETO/RETO FEMEA JIC 7/8"""
240417,"MANG R2 - 1.1/4"" X 1200 - TERM. RETO/90 FEMEA JIC 1.5/8"""
240418,"MANG R2 - 1.1/4"" X 1800 - TERM. 90/90 (90°) FEMEA JIC 1.5/8"""
240420,"MANG R2 - 1/4"" X 1200 - TERM. RETO/90 FEMEA JIC 9/16"""
240421,"MANG R2 - 1.1/4"" X 750 - TERM. RETO/90° FEMEA JIC 1.5/8"""
240422,"MANG R2 - 5/8"" X 1500 - TERM. RETO/90 FEMEA JIC 7/8"""
240423,"MANG R2 - 5/8"" X 5500 - TERM. RETO/90 FEMEA JIC 7/8"""
240425,"MANG R2 - 5/8"" X 4000 - TERM. RETO/RETO FEMEA JIC 7/8"""
240426,"MANG R2 - 1/2"" X 2000 - TERM. 90/45 FEMEA JIC 3/4"" (DEFASADO 0º)"
240427,"MANG R2 - 1/4"" X 3800 - TERM. RETO/90 FEMEA JIC 9/16"""
240428,"MANG R2 - 3/8"" X 4500 - TERM. RETO/90 FEMEA JIC 3/4"""
240429,"MANG R2 - 1/2"" X 5800 - TERM. RETO/45 FEMEA JIC 3/4"""
240430,"MANG R2 - 3/8"" X 6000 - TERM. RETO/90 FEMEA JIC 3/4"""
240431,"MANG R2 - 1/4"" X 4100 - TERM. RETO/90 FEMEA JIC 9/16"""
240432,"MANG R2 - 1/2"" X 3700 - TERM. 45/90 FEMEA JIC 3/4"" (DEFASADO 0º)"
240433,"MANG R2 - 5/8"" X 1200 - TERM. 90/90 FEMEA JIC 7/8"" (DEFASADO 180º)"
240434,"MANG R2 - 5/8"" X 800 - TERM. 90/90 FEMEA JIC 7/8"" (DEFASADO 180º)"
240435,"MANG R2 - 5/8"" X 4700 - TERM. RETO/90 FEMEA JIC 7/8"""
240437,"MANG R2 - 1/4"" X 2300 - TERM. RETO/90 FEMEA JIC 9/16"""
240438,"MANG R2 - 1/4"" X 3600 - TERM. 90/90 FEMEA JIC 9/16"" (DEFASADO 0º)"
240439,"MANG R2 - 1/4"" X 2000 - TERM. RETO/90 FEMEA JIC 9/16"""
240440,"MANG R2 - 5/8"" X 430  - TERM. 90/90 FEMEA JIC 7/8"" (DEFASADO 180º)"
240441,"MANG R2 - 3/8"" X 700 - TERM. RETO/90 FEMEA JIC 3/4"""
240443,"MANG R2 - 3/8"" X 4700  - TERM. RETO/90 FEMEA JIC 3/4"""
240447,"MANG R2 - 5/8"" X 2600 - TERM. 90/RETO FEMEA JIC 7/8"""
240449,"MANG R2 - 1/4"" X 5000 - TERM. 90/RETO FEMEA JIC 9/16"""
240451,"MANG R2 - 3/8"" X 600 - TERM. RETO/90 FEMEA JIC 3/4"""
240452,"MANG R2 - 3/8"" X 550 - TERM. RETO/90 FEMEA JIC 3/4"""
240453,"MANG R2 - 5/8"" X 550 - TERM. RETO/90 FEMEA JIC 7/8"""
240454,"MANG R2 - 3/8"" X 1500 - TERM. RETO/RETO FEMEA JIC 3/4"""
240455,"MANG R2 - 3/8"" X 1700 - TERM. RETO/90 FEMEA JIC 3/4"""
240456,"MANG R2 - 5/8"" X 3400 - TERM. 90/RETO FEMEA JIC 7/8"""
240457,"MANG R2 - 5/8"" X 500 - TERM. RETO/90 FEMEA JIC 7/8"""
240458,"MANG R2 - 3/8"" X 2800 - TERM. RETO/90 FEMEA JIC 3/4"""
240463,"UNIAO MACHO JIC 1.5/16"" x 1.1/4"" BSP C/ANEL DE VEDACAO"
240465,"UNIAO MACHO JIC 1.5/16"" x 1"" BSP C/ANEL DE VEDACAO"
240467,"ADAPTADOR MACHO JIC 1.5/16"" x 1"" - NPT"
240468,"JOELHO 90° MACHO JIC 7/8"" X 1.1/16"" UNF C/ANEL DE VEDACAO"
240469,"UNIAO MACHO JIC 7/8"" X 1.1/4"" BSP C/ANEL DE VEDACAO"
240481,BUCHA FIX. DO MACACO MOD. RAL-391 (FA)
240495,"UNIAO MACHO JIC 7/8"" X 1.1/16"" UNF C/ANEL DE VEDACAO"
240496,"JOELHO MACHO JIC 7/8"" X 7/8"" UNF C/ANEL DE VEDACAO"
240498,"REGISTRO DE ESFERA 1"" NPT"
240499,"UNIAO MACHO JIC 7/8"" X 1"" BSP C/ANEL DE VEDACAO"
240500,CIL. COMPL. CÓD.CJ 404 (MACACO)
240501,CIL. COMPL. CÓD.CJ 405 (EST MÓVEL)
240502,CIL. COMPL. CÓD.CJ 406 (EST ELEV 01)
240504,CIL. COMPL. CÓD.CJ 407 (EST ELEV 02)
